,morph,,,,,,"바이오, 낸드플래쉬, "
158,"['핀', '유분', '울산공장', '합', '성수', '온산', '석유', '화학', '공업', '단지', '시황', '합성', '수지', '시황', '극대', '가능']",,,,,,
159,"['아연괴', '비철', '철', '인쇄', '회로', '기판', '당기말', '종속', '당기말', '전자', '부품']",,,,,,
160,"['석유', '제품', '무역업', '영', '렌', '터카', '경정비', '전', '통신사업', '네트웍스', '브로드', '밴드', '다양', '제공']",,,,,,
161,"['신세계그룹', '문화기업', '여성복', '캐주얼', '코스메틱', '코스메틱', '브랜드임', '코스메틱']",,,,,,
162,"['페', '이', '스북', '블유', '블', '소', '셜', '소셜카', '지노', '캐주얼', '캐주얼', '블유빙고', '모바']",,,,,,
163,"['광고업', '광고물', '뉴미디', '어', '디지털마케팅', '옥외', '현대자동차', '취급액', '대', '계열사', '가능', '대행사', '웰컴그룹']",,,,,,
164,"['석유', '화학', '석유', '화학', '통신', '서비스명', '고속인터넷']",,,,,,
165,"['종속', '철금속', '제련업', '자동차부품', '전자', '주']",,,,,,
166,"['엔터테', '인', '먼트', '멀티', '플렉스', '단일관', '업', '시장', '점유', '골', '드클래스', '씨네드쉐프', '템퍼시', '마', '상영관']",,,,,,
167,"['국', '전문', '유', '획기적']",,,,,,
168,"['종속', '냉연', '석', '도', '표면', '처리', '철강재', '전후방', '제조', '채권단', '공동', '관리']",,,,,,
169,"['팜', '팜', '생활', '자원', '헬스케어', '전자', '부품', '운', '송', '산업재', '강화', '에너', '지', '팜', '석탄화공', '플', '랜트', '지분']",,,,,,
170,"['이래', '제약', '바이오의약품', '연구', '신약부문', '가', '항암', '치료', '신', '약', '현지', '임상', '라이', '선', '스']",,,,,,
171,"['제조', '업자', '화승비', '지배지주', '회사', '제조', '됨', '구성', '학']",,,,,,
172,"['종속', '여성', '직영점', '온라인몰', '섬생', '해', '유', '한', '종속', '브랜드임']",,,,,,
173,"['한국콜마', '희망자', '론칭']",,,,,,
174,"['태광실업', '학', '한국바스프', '한', '화케미', '칼', '내장재']",,,,,,
175,"['오리온홀딩스', '종속', '우수', '건강', '양', '제품', '지배력']",,,,,,
176,"['관광숙', '박업', '밀접', '회복세', '코로', '영업장', '전자게임']",,,,,,
177,"['기치', '금성정밀공업임', '방위', '사업청', '연', '구소', '연구', '개발', '사업임', '동', '사', '이노텍', '방위', '산업', '영업양수', '연구', '개발']",,,,,,
178,"['인적분할', '상장', '쿠쿠홀딩스', '공기', '청정기', '전기레', '안마의', '자', '정', '수기', '조']",,,,,,
179,"['무역업', '대리업', '임대업', '부', '외품', '소분업', '서의약품', '생명', '공학', '제공', '스', '토', '가', '뮤코미스', '트', '메이액트', '맥', '핌', '메게이스', '품목임']",,,,,,
180,"['한세예스', '한국거', '래', '소', '상장', '바이', '어', '주문자상표', '제조자', '장', '캐쥬얼']",,,,,,
181,"['의약', '외품', '연구', '개발', '생명', '공학', '치옥타시드', '덱시드', '훼로', '씬지로이드', '오르', '액시마', '아프로', '벨', '메', '딘', '매출품목', '일반', '대형마트', '의약', '외품', '구분']",,,,,,
182,"['홀딩', '스', '인적분할', '거래', '소', '상장', '신동', '동합', '금판', '대', '리드프레임재', '주화', '용소전', '소구경', '대구경', '정밀단', '조품']",,,,,,
183,"['종속', '생식품', '식재', '종속', '푸드서비스', '식재']",,,,,,
184,"['선경합', '분할기일', '디스커', '버', '리', '디스커', '버', '리', '인적분', '순수지주', '회사', '주']",,,,,,
185,"['지주', '사업지주', '삼양바이오팜', '삼남석유', '화학', '성장', '동력', '신성', '장동력']",,,,,,
186,"['한국거', '래소', '계열사', '바', '이', '오', '제', '약', '사', '업부문', '제약', '지속', '가능', '우수', '항생주사제', '영양', '지', '혈증', '오', '마론', '특발', '증제', '파이브로정']",,,,,,
187,"['홈', '쇼핑', '홈', '쇼핑', '정수', '기', '현대렌탈케어', '창', '호', '제조', '현대엘앤', '종속', '현대백화점', '계열사', '현', '대', '리바트']",,,,,,
188,"['원양어업', '위탁사', '하역', '가능', '안전']",,,,,,
189,"['첨가물', '음식료품', '제조', '업체', '음식료', '대한', '민', '국', '청정원', '순창고', '추장', '햇살담', '종가집']",,,,,,
190,"['기업임', '동', '사', '동', '사', '쿠첸이', '점유', '약압']",,,,,,
191,"['동원산업', '사업부문', '조', '미', '속', '세프', '리챔']",,,,,,
192,"['계기판', '소구', '경화', '자동차부품', '기술력', '현', '대기아자동', '완성차', '공급함', '수소', '전지차', '구동', '시현']",,,,,,
193,"['자동차용', '렌탈', '금형', '제과', '제빵업', '비타이', '미', '주']",,,,,,
194,"['두산', '프라', '코어', '영', '건', '설기계', '성장', '만족', '농기계', '임']",,,,,,
195,"['인적분할', '상장', '별', '순수지주', '터내', '셔', '널', '하우시스', '각자회사', '터내셔널', '하우시스', '템반', '도체', '유기', '화합물']",,,,,,
196,"['도소매업', '유', '진', '기업', '롯데쇼핑', '롯데하이', '마트', '킬러업체']",,,,,,
197,"['계열사', '화학', '산업재', '기업임', '동', '사', '표면재']",,,,,,
198,"['도매업', '스낵류', '소재류', '식량', '불닭', '볶음면', '매운맛', '경쟁', '우위', '임', '삼양라', '불닭', '볶음면', '다양']",,,,,,
199,"['하이트린', '신약항', '위십이지장궤양', '역류', '제균요법', '적응증', '다국가']",,,,,,
