,morph
56,"['x', 'x', 'x', '생명', '공학', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', '급화', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '합리', 'y', 'x', 'y', '질', 'x', 'x', '극대', 'x']"
57,"['x', 'x', 'x', '종속', 'y', '당분기', 'x', 'x', 'x', 'x', 'x', '봉형강', '중기', 'x', 'y', 'y', '제품', 'x', 'x', 'x', 'y', '현대자동차', 'x', '공동', '연구', '개발', 'x', 'x', 'x', '하이스', '냉연', 'x', 'y', 'x', 'x', 'x', 'x', 'x', '특화', '전문', 'x', '변모함', 'x', 'y', '봉형', '강강관']"
58,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '엔', '지니어링', '종속', 'x', 'x', 'y', 'x', 'x', '종속', 'y', 'x', 'y', 'x', 'y', 'x', 'y', 'y', 'y', 'x', 'y', 'x', 'y', 'x', 'y', '뉨', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'x', '달성', 'x', 'x', 'y', 'x', 'x', 'y', 'y', 'y']"
59,"['x', '투자업', 'x', 'x', 'x', 'x', 'x', '다양', 'x', 'x', 'x', '미래', '셋증권', 'x', 'x', 'x', '미래', '셋증권', 'x', 'y', 'x', '이버', '파이낸셜', 'x', '지분', 'x', 'x', '디지털금융비지니스', 'x', 'x', 'x', 'x', 'x', 'y', 'y']"
60,"['x', 'x', '한국거', '래', '소', 'x', 'x', 'x', '장', '합성고무', 'x', '수지', '정밀화학', 'x', 'x', '건자', '재', 'x', 'x', 'x', 'x', '운', '영', 'x', 'x', '합성고무산업', '천연', 'x', '유사', 'x', '합성고', 'x', 'x', '고무상', 'x', '가소', 'y', 'y', 'y', 'x', 'x', 'x', '주원료', 'x', 'y']"
61,"['x', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', '금형', 'y', 'y', 'x', 'x', 'y', 'x', 'x', 'x', '동', '사', 'x', 'x', 'x', 'x', 'y', '점시장', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '지', '역본부', '어', 'x', 'x']"
62,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '수', '처리', '바이오시장', 'x', 'x', 'x', 'x', '개', '발국가', 'x', 'x', 'y', 'y', 'x', 'y', 'x', 'x', 'y', '가능']"
63,"['인적분할', 'x', '음식료품', 'x', 'x', 'x', 'x', 'x', 'y', '국', '내', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '양', 'y', 'x', 'x', 'y', '지배력', 'x', 'y', 'x', 'y', 'x', 'x', '소매점', 'y', 'x', 'x', '채널망', 'x']"
64,"['x', 'x', 'x', 'x', '순수지주', 'x', 'x', '신속', 'x', '의사', '결정', '가능', 'x', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', 'y', 'x', 'x', 'y', 'y', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'y', 'x', 'x', 'y', 'y', 'x', '수입원', 'x']"
65,"['x', 'x', 'x', '자산', 'x', '저축', 'x', '벤처', 'y', '여신', '전', '문업', '헤', '지', '펀드', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '한국투자', 'x', 'x', 'y', '저', '축은행', '한국투자캐피', '탈', '한국투', '자', 'x', '한국투자프', '라이빗에쿼티', 'y', 'y', '계열사', 'x', 'y', 'y', '한국카카오은행', '지분', 'x', 'x', 'x', '비은행', 'y', '지주', '회사', 'x']"
